Timestamp, Humidity %, Temperature(°C), Heat-Index 
[2024-04-16 23:32:42.763],62.9,34.9,46.17
[2024-04-16 23:32:52.824],62.8,34.9,46.12
[2024-04-16 23:33:02.917],62.9,34.9,46.17
[2024-04-16 23:33:12.978],62.9,34.9,46.17
[2024-04-16 23:33:23.071],63,34.9,46.22
[2024-04-16 23:33:33.148],62.9,35,46.49
[2024-04-16 23:33:43.225],62.9,35,46.49
[2024-04-16 23:33:53.302],62.9,35,46.49
[2024-04-16 23:34:03.379],62.9,35,46.49
[2024-04-16 23:34:13.456],62.8,35,46.44
[2024-04-16 23:34:23.533],62.8,35,46.44
[2024-04-16 23:34:33.610],62.9,35,46.49
[2024-04-16 23:34:43.687],62.8,35,46.44
[2024-04-16 23:34:53.764],62.9,34.9,46.17
[2024-04-16 23:35:03.842],62.9,35,46.49
[2024-04-16 23:35:13.918],63,35,46.54
[2024-04-16 23:35:23.995],63,35,46.54
[2024-04-16 23:35:34.088],62.9,35,46.49
[2024-04-20 19:05:52.973],52,33.5,37.96
[2024-04-20 19:06:53.294],50.3,33.8,38.06
[2024-04-20 19:07:53.631],51,33.9,38.51
[2024-04-20 19:08:53.968],50,34.2,38.83
[2024-04-20 19:09:54.290],49.7,34.2,38.73
[2024-04-20 19:10:54.626],49.1,34.2,38.53
[2024-04-20 19:11:54.963],49,34.2,38.49
[2024-04-20 19:12:55.285],48.9,34.2,38.46
[2024-04-20 19:13:55.622],48.7,34.2,38.39
[2024-04-20 19:14:55.943],48.5,34.2,38.32
[2024-04-20 19:15:56.280],48.5,34.2,38.32
[2024-04-20 19:16:56.610],48.3,34.2,38.26
[2024-04-20 19:17:56.920],48.1,34.2,38.19
[2024-04-20 19:18:57.244],48,34.2,38.16
[2024-04-20 19:19:57.560],47.8,34.1,37.88
[2024-04-20 19:20:57.880],47.7,34.2,38.06
[2024-04-20 19:21:58.215],47.7,34.2,38.06
[2024-04-20 19:22:58.534],47.6,34.2,38.02
[2024-04-20 19:23:58.840],47.5,34.1,37.78
[2024-04-20 19:24:59.177],47.4,34.1,37.75
[2024-04-20 19:25:59.498],47.5,34.1,37.78
[2024-04-20 19:26:59.816],47.4,34,37.54
[2024-04-20 19:28:00.129],47.4,34.1,37.75
[2024-04-20 19:29:00.451],47.5,34.1,37.78
[2024-04-20 19:30:00.767],47.5,34.1,37.78
[2024-04-20 19:31:01.098],47.6,34.1,37.81
[2024-04-20 19:32:01.421],47.7,34.1,37.85
[2024-04-20 19:33:01.741],47.6,34.1,37.81
[2024-04-20 19:34:02.053],47.7,34.1,37.85
[2024-04-20 19:35:02.389],47.8,34.2,38.09
[2024-04-20 19:36:02.712],47.9,34.2,38.12
